identifier	taxonID	type	format	description	accessURI	furtherInformationURL	CreateDate	UsageTerms	Owner	LocationCreated	rights	ReferenceID
CalPhotos:0000 0000 0605 1123	7bc9b206afda53d4014bdfb0b9e438bb	http://purl.org/dc/dcmitype/StillImage	image/jpeg		http://calphotos.berkeley.edu/imgs/512x768/0000_0000/0605/1123.jpeg	http://calphotos.berkeley.edu/cgi/img_query?seq_num=167953&one=T	2005-06-16	http://creativecommons.org/licenses/by-nc/3.0/	2005 Steven Thorsted	Greeley Hill (Mariposa County, California, US)		r1
CalPhotos:0000 0000 0316 0543	7bc9b206afda53d4014bdfb0b9e438bb	http://purl.org/dc/dcmitype/StillImage	image/jpeg		http://calphotos.berkeley.edu/imgs/512x768/0000_0000/0316/0543.jpeg	http://calphotos.berkeley.edu/cgi/img_query?seq_num=683682&one=T	2016-03-07	http://creativecommons.org/licenses/by-nc/3.0/	2016 Steven Thorsted	West of Chinese Camp (Tuolumne County, California, US)		r2
CalPhotos:0000 0000 0316 0544	7bc9b206afda53d4014bdfb0b9e438bb	http://purl.org/dc/dcmitype/StillImage	image/jpeg		http://calphotos.berkeley.edu/imgs/512x768/0000_0000/0316/0544.jpeg	http://calphotos.berkeley.edu/cgi/img_query?seq_num=683683&one=T	2016-03-07	http://creativecommons.org/licenses/by-nc/3.0/	2016 Steven Thorsted	West of Chinese Camp (Tuolumne County, California, US)		r3
